Asteroids	platforms	Arcade, [[#Ports
Ninja Gaiden III: The Ancient Ship of Doom	platforms	Atari Lynx
Ninja Gaiden III: The Ancient Ship of Doom	platforms	Super Nintendo Entertainment System
Ninja Gaiden II: The Dark Sword of Chaos	platforms	Nintendo Entertainment System
Ninja Gaiden II: The Dark Sword of Chaos	platforms	Super Nintendo Entertainment System
Ninja Gaiden II: The Dark Sword of Chaos	platforms	MS-DOS
Ninja Gaiden II: The Dark Sword of Chaos	platforms	Commodore Amiga
Ninja Gaiden II: The Dark Sword of Chaos	platforms	Virtual Console
Space Shuttle Project	platforms	Nintendo Entertainment System
Solomon's Key	platforms	Arcade, Amstrad CPC, Atari ST, C64, DOS, Famicom Disk System, Master System, Mobile phone, NES, ZX Spectrum, Arcade Archives
Mickey's Adventures in Numberland	platforms	Nintendo Entertainment System
King of Kings	platforms	Nintendo Entertainment System
Super Pitfall	platforms	PC-8801
Super Pitfall	platforms	Nintendo Entertainment System
Super Pitfall	platforms	TRS-80 Color Computer
ESPN College Hoops 2K5	platforms	PlayStation 2
ESPN College Hoops 2K5	platforms	Xbox
Impossible Mission	platforms	Acorn Electron
Impossible Mission	platforms	Amstrad CPC
Impossible Mission	platforms	Apple II family
Impossible Mission	platforms	Atari 7800
Impossible Mission	platforms	BBC Micro
Impossible Mission	platforms	Commodore 64
Impossible Mission	platforms	Sega Master System
Impossible Mission	platforms	ZX Spectrum
Impossible Mission	platforms	PlayStation 2
Impossible Mission	platforms	PlayStation Portable
Impossible Mission	platforms	Nintendo Entertainment System
Impossible Mission	platforms	Nintendo DS
Impossible Mission	platforms	Oric Atmos
Arcana	platforms	Super Nintendo Entertainment System
John Elway's Quarterback	platforms	Amstrad CPC, Arcade, Commodore 64, NES, Apple II(GS), PC , ZX Spectrum,
R.C. Pro-Am II	platforms	Nintendo Entertainment System
Wembley Stadium railway station	platforms	2
Sudbury & Harrow Road railway station	platforms	2
Sudbury Hill Harrow railway station	platforms	2
Northolt Park railway station	platforms	2
Forest Hill railway station	platforms	2
The Mafat Conspiracy	platforms	Nintendo Entertainment System
Empires: Dawn of the Modern World	platforms	Microsoft Windows
The Sentinel	platforms	Amiga, Amstrad CPC, Atari ST, BBC Micro, Commodore 64, PC , ZX Spectrum
Icy Tower	platforms	Personal computer
Icy Tower	platforms	Microsoft Windows
Icy Tower	platforms	Mac OS X
Icy Tower	platforms	Java Platform, Micro Edition
Icy Tower	platforms	Adobe Flash
Icy Tower	platforms	Facebook Platform
Front Mission 2	platforms	PlayStation
Front Mission 2	platforms	PlayStation Network
Coulsdon Town railway station	platforms	2
Coulsdon North railway station	platforms	4
Neverwinter Nights 2	platforms	Microsoft Windows
Neverwinter Nights 2	platforms	Mac OS X
Interstate '76	platforms	Microsoft Windows
Ballz	platforms	Sega Genesis/Mega Drive, Super NES, 3DO
PF Magic	platforms	--06-07
Metal Gear Solid 4: Guns of the Patriots	platforms	PlayStation 3
Star Trek: Borg	platforms	Mac OS
Star Trek: Borg	platforms	Microsoft Windows
SSX	platforms	PlayStation 2
SSX	platforms	Plug and play game
Mario & Wario	platforms	Super Nintendo Entertainment System
Hayes railway station	platforms	2
The Lords of Midnight	platforms	*
The Lords of Midnight	platforms	ZX Spectrum
The Lords of Midnight	platforms	Commodore 64
The Lords of Midnight	platforms	Amstrad CPC
The Lords of Midnight	platforms	DOS
The Lords of Midnight	platforms	IOS
The Lords of Midnight	platforms	Android
The Lords of Midnight	platforms	OS X
The Lords of Midnight	platforms	Microsoft Windows
The Lords of Midnight	platforms	BlackBerry OS
The Lords of Midnight	platforms	Windows Phone
Reading West railway station	platforms	2
Barnehurst railway station	platforms	2
Seiken Densetsu 3	platforms	Super Nintendo Entertainment System
Imperial Wharf railway station	platforms	2
Starmaster	platforms	Atari 2600
Dragon Quest V	platforms	Super Nintendo Entertainment System
Dragon Quest V	platforms	PlayStation 2
Dragon Quest V	platforms	Nintendo DS
Dragon Quest V	platforms	Android
Dragon Quest V	platforms	IOS
Neopets: The Darkest Faerie	platforms	PlayStation 2
Welling railway station	platforms	2
Charlton railway station	platforms	2
Advanced Dungeons & Dragons: Heroes of the Lance	platforms	Amiga
Advanced Dungeons & Dragons: Heroes of the Lance	platforms	Amstrad CPC
Advanced Dungeons & Dragons: Heroes of the Lance	platforms	Atari ST
Advanced Dungeons & Dragons: Heroes of the Lance	platforms	Commodore 64
Advanced Dungeons & Dragons: Heroes of the Lance	platforms	MS-DOS
Advanced Dungeons & Dragons: Heroes of the Lance	platforms	MSX
Advanced Dungeons & Dragons: Heroes of the Lance	platforms	Nintendo Entertainment System
Advanced Dungeons & Dragons: Heroes of the Lance	platforms	Sega Master System
Advanced Dungeons & Dragons: Heroes of the Lance	platforms	ZX Spectrum
Lunar Pool	platforms	Nintendo Entertainment System
Lunar Pool	platforms	MSX
Lunar Pool	platforms	Virtual Console
Tetris	platforms	Arcade game
Tetris	platforms	Nintendo Entertainment System
Pocket Tanks	platforms	Microsoft Windows
Pocket Tanks	platforms	Mac OS X
Pocket Tanks	platforms	IOS
Pocket Tanks	platforms	Android
Pocket Tanks	platforms	Windows Phone
Super DX-Ball	platforms	Microsoft Windows
Super DX-Ball	platforms	OS X
Kirby's Dream Course	platforms	Super Nintendo Entertainment System
Suikoden III	platforms	PlayStation 2
Suikoden III	platforms	PlayStation Network
Tetrisphere	platforms	Nintendo 64
Tactics Ogre: The Knight of Lodis	platforms	Game Boy Advance
Woolwich Dockyard railway station	platforms	2
Crofton Park railway station	platforms	2
Virtua Cop 3	platforms	Arcade game
St Johns railway station	platforms	2
Ultimate Mortal Kombat 3	platforms	Arcade game
Ultimate Mortal Kombat 3	platforms	Sega Saturn
Ultimate Mortal Kombat 3	platforms	Sega Genesis
Ultimate Mortal Kombat 3	platforms	Super Nintendo Entertainment System
Ultimate Mortal Kombat 3	platforms	Game Boy Advance
Ultimate Mortal Kombat 3	platforms	Nintendo DS
Ultimate Mortal Kombat 3	platforms	IOS
Ultimate Mortal Kombat 3	platforms	PlayStation 2
Ultimate Mortal Kombat 3	platforms	Microsoft Windows
Michelle Kwan Figure Skating	platforms	Microsoft Windows
Shadow the Hedgehog	platforms	GameCube
Shadow the Hedgehog	platforms	PlayStation 2
Shadow the Hedgehog	platforms	Xbox
Hackney Wick railway station	platforms	2
Homerton railway station	platforms	2
Canonbury railway station	platforms	4
OutRun 2	platforms	Arcade game
OutRun 2	platforms	Xbox
Robodemons	platforms	Nintendo Entertainment System
Menace Beach	platforms	Nintendo Entertainment System
Project Snowblind	platforms	PlayStation 2
Project Snowblind	platforms	Xbox
Project Snowblind	platforms	Microsoft Windows
Slade Green railway station	platforms	2
Ultima Online: The Second Age	platforms	Microsoft Windows
Tiger Woods PGA Tour 2005	platforms	GameCube
Tiger Woods PGA Tour 2005	platforms	PlayStation 2
Tiger Woods PGA Tour 2005	platforms	Xbox
Tiger Woods PGA Tour 2005	platforms	Microsoft Windows
Tiger Woods PGA Tour 2005	platforms	Nintendo DS
Tiger Woods PGA Tour 2005	platforms	PlayStation Portable
Tiger Woods PGA Tour 2005	platforms	Mobile phones
Tiger Woods PGA Tour 2005	platforms	Mac OS X
Balls of Steel	platforms	Microsoft Windows
Streatham Common railway station	platforms	4
StarTropics	platforms	Nintendo Entertainment System
Windermere railway station	platforms	1
Carnival Cruise Line Tycoon 2005: Island Hopping	platforms	Microsoft Windows
Joy Mech Fight	platforms	Nintendo Entertainment System
Joy Mech Fight	platforms	Virtual Console
Benefactor	platforms	Commodore Amiga
Benefactor	platforms	Amiga CD32
Thief: Deadly Shadows	platforms	Microsoft Windows
Thief: Deadly Shadows	platforms	Xbox
Electroplankton	platforms	Nintendo DS
Electroplankton	platforms	Nintendo DSi
Starlancer	platforms	Microsoft Windows
Starlancer	platforms	Dreamcast
Extreme Assault	platforms	DOS
Majestic	platforms	Microsoft Windows
Treasure Master	platforms	Nintendo Entertainment System
Quest 64	platforms	Nintendo 64
The Legend of Zelda: Twilight Princess	platforms	Wii
The Legend of Zelda: Twilight Princess	platforms	GameCube
The Itchy & Scratchy Game	platforms	Super Nintendo Entertainment System
The Itchy & Scratchy Game	platforms	Game Gear
The Itchy & Scratchy Game	platforms	Sega Genesis
1944: The Loop Master	platforms	Arcade game
1944: The Loop Master	platforms	GameTap
Madden NFL 2005	platforms	Nintendo GameCube
Madden NFL 2005	platforms	PlayStation 2
Madden NFL 2005	platforms	PlayStation
Madden NFL 2005	platforms	Xbox
Madden NFL 2005	platforms	Nintendo DS
Madden NFL 2005	platforms	Microsoft Windows
Madden NFL 2005	platforms	Game Boy Advance
Madden NFL 2005	platforms	Tapwave Zodiac
Sydenham	platforms	2
Penge West railway station	platforms	2
West Norwood railway station	platforms	2
Gipsy Hill railway station	platforms	2
Norwood Junction railway station	platforms	5
Anerley railway station	platforms	2
Tulse Hill railway station	platforms	4
Ladywell railway station	platforms	2
Milon's Secret Castle	platforms	Nintendo Entertainment System
Milon's Secret Castle	platforms	Game Boy
Milon's Secret Castle	platforms	PlayStation Broadband Navigator
Milon's Secret Castle	platforms	Virtual Console
Little Samson	platforms	Nintendo Entertainment System
Fire 'n Ice	platforms	Nintendo Entertainment System
Fire 'n Ice	platforms	ZX Spectrum
The Amazon Trail	platforms	DOS
The Amazon Trail	platforms	Mac OS
The Amazon Trail	platforms	Windows 3.1x
Marvel Super Heroes	platforms	Arcade game
Marvel Super Heroes	platforms	Sega Saturn
Marvel Super Heroes	platforms	PlayStation
Marvel Super Heroes	platforms	Xbox 360
Marvel Super Heroes	platforms	PlayStation 3
New Beckenham railway station	platforms	2
Lower Sydenham railway station	platforms	2
One on One: Dr. J vs. Larry Bird	platforms	Apple II
One on One: Dr. J vs. Larry Bird	platforms	Amiga
One on One: Dr. J vs. Larry Bird	platforms	Atari 7800
One on One: Dr. J vs. Larry Bird	platforms	Atari 8-bit
One on One: Dr. J vs. Larry Bird	platforms	ColecoVision
One on One: Dr. J vs. Larry Bird	platforms	Commodore 64
One on One: Dr. J vs. Larry Bird	platforms	MS-DOS
One on One: Dr. J vs. Larry Bird	platforms	Macintosh
One on One: Dr. J vs. Larry Bird	platforms	TRS-80 CoCo
Feltham railway station	platforms	2
The Legend of Kyrandia	platforms	AmigaOS
The Legend of Kyrandia	platforms	DOS
The Legend of Kyrandia	platforms	FM Towns
The Legend of Kyrandia	platforms	Mac OS
The Legend of Kyrandia	platforms	PC-98
The Legend of Kyrandia	platforms	Microsoft Windows
Koudelka	platforms	PlayStation
God of War	platforms	*
God of War	platforms	PlayStation 2
God of War	platforms	PlayStation 3
God of War	platforms	PlayStation Vita
Brian Bloodaxe	platforms	ZX Spectrum
Brian Bloodaxe	platforms	Commodore 64
Brian Bloodaxe	platforms	Amstrad CPC 464
Basketbrawl	platforms	Atari 7800
Basketbrawl	platforms	Atari Lynx
Sid Meier's SimGolf	platforms	Microsoft Windows
Grand Prix 3	platforms	Microsoft Windows
BC Racers	platforms	Sega CD
BC Racers	platforms	Sega 32X
BC Racers	platforms	Personal Computer
BC Racers	platforms	3DO Interactive Multiplayer
Yu-Gi-Oh! The Falsebound Kingdom	platforms	Nintendo GameCube
Ben's Game	platforms	Windows and Mac
Chesterfield railway station	platforms	3
Sutton Coldfield railway station	platforms	2
Curzon Street railway station	platforms	7
Clock House railway station	platforms	2
Eden Park railway station	platforms	2
West Wickham railway station	platforms	2
West Dulwich railway station	platforms	2
Sydenham Hill railway station	platforms	2
Chislehurst railway station	platforms	4
Bickley railway station	platforms	4
Bromley South railway station	platforms	4
Elmstead Woods railway station	platforms	4
Kent House railway station	platforms	4
Penge East railway station	platforms	2
Shortlands railway station	platforms	4
Hither Green railway station	platforms	6
Sheffield Victoria railway station	platforms	5
Recca	platforms	Nintendo Entertainment System
Recca	platforms	3
Mottingham railway station	platforms	2
Bromley North railway station	platforms	2
Sundridge Park railway station	platforms	2
St Mary Cray railway station	platforms	4
Crayford railway station	platforms	2
Albany Park railway station	platforms	2
Bexley railway station	platforms	2
Sidcup railway station	platforms	2
New Eltham railway station	platforms	2
Ravensbourne railway station	platforms	2
Beckenham Hill railway station	platforms	2
SSN-21 Seawolf	platforms	MS-DOS
Kirby's Dream Land 2	platforms	Game Boy
Kirby's Dream Land 2	platforms	Virtual Console
Chelsfield railway station	platforms	2
Knockholt railway station	platforms	2
East Dulwich railway station	platforms	2
North Dulwich railway station	platforms	2
Dangerous Waters	platforms	PC
Thornton Heath railway station	platforms	usually 2 out of 4
Norbury railway station	platforms	4
Selhurst railway station	platforms	4
Wandsworth Common railway station	platforms	2
Finchley Road & Frognal railway station	platforms	2
Kentish Town West railway station	platforms	2
Kroz	platforms	MS-DOS
The Strength of Nations	platforms	MS-DOS
Final Fantasy XIII	platforms	*
Final Fantasy XIII	platforms	PlayStation 3
Final Fantasy XIII	platforms	Xbox 360
Final Fantasy XIII	platforms	Microsoft Windows
Final Fantasy XIII	platforms	IOS
Final Fantasy XIII	platforms	Android
America's Army: Rise of a Soldier	platforms	Xbox
America's Army: Rise of a Soldier	platforms	PlayStation 2
Haydons Road railway station	platforms	2
Wimbledon Chase railway station	platforms	2
Morden South railway station	platforms	2
Sutton	platforms	4
South Merton railway station	platforms	2
West Sutton railway station	platforms	2
Sutton Common railway station	platforms	2
St Helier railway station	platforms	2
South Acton railway station	platforms	2
Carshalton railway station	platforms	2
Hackbridge railway station	platforms	2
Tooting railway station	platforms	2
Cricklewood railway station	platforms	4
Tilehurst railway station	platforms	4
Pangbourne railway station	platforms	2
Earley railway station	platforms	2
Goring & Streatley railway station	platforms	4
Waddon railway station	platforms	2
Carshalton Beeches railway station	platforms	2
Belmont railway station	platforms	1
Banstead railway station	platforms	1
Epsom Downs railway station	platforms	1
Theale railway station	platforms	3
Digital Devil Story: Megami Tensei	platforms	Nintendo Entertainment System
Digital Devil Story: Megami Tensei	platforms	Super Nintendo Entertainment System
Maidenhead railway station	platforms	5
Twyford railway station	platforms	5
Jack Bros.	platforms	Virtual Boy
Digital Devil Story: Megami Tensei II	platforms	Nintendo Entertainment System
Digital Devil Story: Megami Tensei II	platforms	Super Nintendo Entertainment System
U.N. Squadron	platforms	Arcade game
U.N. Squadron	platforms	Amiga
U.N. Squadron	platforms	Amstrad CPC
U.N. Squadron	platforms	Atari ST
U.N. Squadron	platforms	Commodore 64
U.N. Squadron	platforms	Super Nintendo Entertainment System
U.N. Squadron	platforms	ZX Spectrum
Shin Megami Tensei II	platforms	Android
Shin Megami Tensei II	platforms	IOS
Shin Megami Tensei II	platforms	Game Boy Advance
Shin Megami Tensei II	platforms	PlayStation
Shin Megami Tensei II	platforms	Super Famicom
Aldermaston railway station	platforms	2
Earlsfield railway station	platforms	3
South Croydon railway station	platforms	5
Purley Oaks railway station	platforms	4
Glover	platforms	Nintendo 64
Glover	platforms	Microsoft Windows
Glover	platforms	PlayStation
Legend of Legaia	platforms	PlayStation
Resident Evil 3: Nemesis	platforms	PlayStation
Resident Evil 3: Nemesis	platforms	Microsoft Windows
Resident Evil 3: Nemesis	platforms	Dreamcast
Resident Evil 3: Nemesis	platforms	GameCube
Treasure Hunter G	platforms	Super Nintendo Entertainment System
Mario Clash	platforms	Virtual Boy
Bravoman	platforms	Arcade, PC Engine/TurboGrafx-16, Wii
Professor Pac-Man	platforms	Arcade game
SSX 3	platforms	GameCube
SSX 3	platforms	PlayStation 2
SSX 3	platforms	Xbox
SSX 3	platforms	Game Boy Advance
SSX 3	platforms	Gizmondo
Ewell East railway station	platforms	2
Haymarket railway station	platforms	5
Singles: Flirt Up Your Life	platforms	Microsoft Windows
Frankenstein: The Monster Returns	platforms	Nintendo Entertainment System
Too Human	platforms	Xbox 360
Kenley railway station	platforms	2
Woodmansterne railway station	platforms	2
Riddlesdown railway station	platforms	2
Bethnal Green railway station	platforms	2
Cambridge Heath railway station	platforms	2
London Fields railway station	platforms	2
Hackney Downs railway station	platforms	4
Coded Arms	platforms	PlayStation Portable
European Club Soccer	platforms	Sega Mega Drive/Genesis[[#Alternate versions
Grand Prix Challenge	platforms	PlayStation 2
Slough railway station	platforms	5
Croc: Legend of the Gobbos	platforms	*
Croc: Legend of the Gobbos	platforms	Game Boy Color
Croc: Legend of the Gobbos	platforms	Microsoft Windows
Croc: Legend of the Gobbos	platforms	PlayStation
Croc: Legend of the Gobbos	platforms	Sega Saturn
Harry Potter and the Prisoner of Azkaban	platforms	Microsoft Windows
Harry Potter and the Prisoner of Azkaban	platforms	Game Boy Advance
Harry Potter and the Prisoner of Azkaban	platforms	Xbox
Harry Potter and the Prisoner of Azkaban	platforms	PlayStation 2
Harry Potter and the Prisoner of Azkaban	platforms	GameCube
World Cup Italia '90	platforms	Mega Drive
World Cup Italia '90	platforms	Master System
World Cup Italia '90	platforms	DOS
Langley railway station	platforms	4
Windsor & Eton Central railway station	platforms	1
Taplow railway station	platforms	4
Burnham railway station	platforms	2
Harry Potter and the Philosopher's Stone	platforms	*
Harry Potter and the Philosopher's Stone	platforms	Game Boy Advance
Harry Potter and the Philosopher's Stone	platforms	Game Boy Color
